"Species","Type"
"MEDISAT","7"
"MELIALB","7"
"PHALARU","6"
"PELTOLE","10"
"THUIDIU","9"
"CAREVES","6"
"BETULA","0"
"LARILAR","1"
"MAIANTH","7"
"STELBOR","7"
"RUMECRI","7"
"HORDJUB","6"
"RANUOCC","7"
"HIERSCO","7"
"HYPEPER","7"
"ACHNNEL","6"
"PERIMON","7"
"POTEREC","7"
"MICRNUT","7"
"MADIGRA","7"
"CLADCER","11"
"PHILLEW","4"
"VICIVIL","7"
"CENTAUR","7"
"LAPPOCC1","7"
"DRYPPAT","9"
"CRYPSIT","5"
"PLANMAJ","7"
"HELOBLA","9"
"CYNOOFF","7"
"PASCSMI","6"
"VIOLVAL","7"
"MICRNID","7"
"AMSIINT","7"
"CENTAUI","7"
"LACTSER","7"
"GAYODIF","7"
"CLAYPAR1","7"
"CRYPTAN","7"
"VULPOCT","6"
"LOLIPER","6"
"RIBECER","4"
"CHEOSIM","7"
"SANIMAR","7"
"CLADMAO","11"
"LOMAGEY","7"
"CLAYPER","7"
"AMSINCK","7"
"BROMCOM","6"
"CHENOPO","7"
"SILEREP","7"
"CASTTHO","7"
"WOODSIA","5"
"DANTHON","6"
"BROMBRI","6"
"LINAGEN1","7"
"CENTDIF","7"
"DIANARM","7"
"BRASSIA","7"
"MADIA","7"
"FRANPUR1","2"
"LOMAAMB","7"
"HYDRCAP","7"
"EUCEENG","7"
"UNKNOWN","0"
"STELMED","7"
"NEPECAT","7"
"ARCTLAP","7"
"GERABIC","7"
"LEPIDEN","7"
"BROMHOR","6"
"SONCOLE","7"
"LAMIACE","7"
"SYMPCAM","7"
"ELYMLAN","6"
"MONTPAR","7"
"AGOSGRA","7"
"CONVARV","7"
"AGASURT","7"
"SILENOC","7"
"ASPAOFF","7"
"CRYPAFF","7"
"CLADECM2","11"
"SAMBRAC7","4"
"BRACERY","9"
"SPHARUS","9"
"DASIFRU","4"
"SALIVES","4"
"SPHAWAR","9"
"CAREBIG","6"
"RACOHET","9"
"LYCOUNI","7"
"CAREARC","6"
"SOLADUL","4"
"ARTELUD","7"
"OXYTDEF","7"
"ELYMTRA1","6"
"GLYCELA","6"
"CALLSTR","9"
"LEMNMIN","7"
"CICUBUL","7"
"EPILCIL2","7"
"CARDAMI","7"
"PICEXLU","1"
"HEUCCYL2","7"
"SONCHUS","7"
"RANUNCL","0"
"FALLCON","7"
"RUMEACT","7"
"BERTINC","7"
"HYPOOCC","11"
"MYCOSAN","11"
"BRYOFRE","11"
"HYPOPHY","11"
"BARBBAR","10"
"HEUCCHL","7"
"CLADSUF","11"
"SPIRAEA","4"
"CLADCON","11"
"CLADSUL","11"
"CLADCOR1","11"
"POLYALI","9"
"DICRACU","9"
"TOFICOC","7"
